Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Sep 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3506614832.0,3754710.0,110.0,933.9242796378592,4.0
Sep 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,2222515989.0,0.0,110419600.0,110.0,20.127911973960963,4.0
Sep 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,591359997.0,384000.0,110.0,1539.9999921834894,4.0
Sep 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,185668689.0,103220.0,10.0,1798.7666052916222,4.0
Sep 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3789021497.0,47503630.0,110.0,79.76277806559037,4.0
Sep 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,949221.0,66010.0,110.0,14.379957581966671,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,1277072094.0,1209020.0,110.0,1056.286987807434,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,523932.0,388330.0,110.0,1.3491926969295465,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1153073087.0,1209020.0,110.0,953.7254032183472,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,ASEAN,0.0,0.0,1209020.0,240.0,0.0,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,European Union All Countries,0.0,0.0,58210.0,39940201.0,0.0,4.0
Sep 2025,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,0.0,0.0,97160.0,0.0,0.0,4.0
Jan 2025,2605 - Cobalt ores and concentrates.,Total Imports,DR Congo,SADC,4163797093.0,0.0,20.0,0.0,208189844.24050775,4.0
Sep 2025,2605 - Cobalt ores and concentrates.,Total Exports,DR Congo,SADC,0.0,15984864.0,20.0,0.0,799243.160037842,4.0
Mar 2021,2606 - Aluminium ores and concentrates.,Total Imports,DR Congo,European Union All Countries,6757778732.0,0.0,3225760.0,0.0,2094.9415740780173,4.0
May 2024,2607 - Lead ores and concentrates.,Total Imports,DR Congo,SADC,1085.0,0.0,10.0,0.0,108.4999891500011,4.0
Apr 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3607798683.0,341207790.0,0.0,10.573611707399731,4.0
Aug 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3819384903.0,3656066496.0,0.0,1.0446705242310776,4.0
Dec 2024,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2207509524.0,189379410.0,0.0,11.656544520864164,4.0
Feb 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3150680686.0,290437660.0,0.0,10.84804458898336,4.0
Jan 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2858156258.0,253508650.0,0.0,11.274393429967729,4.0
Jul 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3327604214.0,338150010.0,0.0,9.84061545347874,4.0
Jun 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2459462243.0,250349320.0,0.0,9.824121922919502,4.0
Mar 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3836903108.0,350763420.0,0.0,10.938720770826071,4.0
May 2020,2608 - Zinc ores and concentrates.,Total Imports,DR Congo,SADC,148762563.0,0.0,140.0,0.0,1062589.7281243592,4.0
May 2024,2608 - Zinc ores and concentrates.,Total Imports,DR Congo,SADC,569702.0,0.0,10.0,0.0,56970.19430298058,4.0
May 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3904002881.0,394991200.0,0.0,9.88377179289055,4.0
Oct 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,5668286695.0,503677100.0,0.0,11.253810615968025,4.0
Sep 2025,2608 - Zinc ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3809427839.0,3624895741.0,0.0,1.0509068704825957,4.0
Apr 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1102079999.0,576000.0,30.0,1913.3333315939003,4.0
Apr 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,2180350004.0,1926900.0,20.0,1131.5325154387194,4.0
Apr 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1070001.0,200.0,10.0,5350.004973249976,4.0
Apr 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,128390802.0,6570.0,10.0,19541.978992459364,4.0
Aug 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,2675340006.0,978000.0,30.0,2735.5214785248104,4.0
Aug 2022,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2073786253.0,2636240.0,30.0,786.6454696837972,4.0
Aug 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,3256756.0,25560.0,30.0,127.41611893085226,4.0
Dec 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,31999995.0,1550.0,80.0,20645.15805119667,4.0
